,city,temperature,cloudiness,country,date,humidity,longitude,latitude,temp_max,wind_speed
0,Luorong,60.82,38.0,CN,11/09/2019,67.0,109.6,24.41,60.82,3.96
1,Saint-Louis,73.4,49.0,SN,11/09/2019,73.0,-16.5,16.03,73.4,4.7
2,Luderitz,60.8,0.0,NA,11/09/2019,87.0,15.16,-26.65,60.8,6.93
3,Kapaa,80.04,1.0,US,11/09/2019,69.0,-159.32,22.08,80.6,8.05
4,Ancud,53.6,92.0,CL,11/09/2019,87.0,-73.83,-41.87,53.6,5.82
5,San Isidro,74.43,75.0,CR,11/09/2019,64.0,-84.06,10.02,77.0,12.75
6,Sobolevo,49.3,100.0,RU,11/09/2019,97.0,31.9,54.43,49.3,10.09
7,Khandyga,-20.51,7.0,RU,11/09/2019,95.0,135.58,62.65,-20.51,1.16
8,Sitka,73.99,0.0,US,11/09/2019,17.0,-99.65,37.17,73.99,3.0
9,Luan,32.52,17.0,CH,11/09/2019,80.0,6.98,46.36,39.0,2.24
10,Vardo,35.31,1.0,US,11/09/2019,51.0,-77.74,39.62,37.99,5.82
11,Paamiut,38.37,100.0,GL,11/09/2019,65.0,-49.67,61.99,38.37,20.51
12,Nigde,43.14,0.0,TR,11/09/2019,51.0,34.68,37.97,43.14,2.1
13,Atuona,80.31,1.0,PF,11/09/2019,74.0,-139.03,-9.8,80.31,11.5
14,Hua Hin,75.2,20.0,TH,11/09/2019,73.0,99.96,12.57,75.2,3.36
15,Isangel,82.4,40.0,VU,11/09/2019,61.0,169.27,-19.55,82.4,9.17
16,Rikitea,72.54,100.0,PF,11/09/2019,80.0,-134.97,-23.12,72.54,10.49
17,Saskylakh,0.43,100.0,RU,11/09/2019,97.0,114.09,71.97,0.43,5.48
18,Barrow,50.29,0.0,AR,11/09/2019,63.0,-60.23,-38.31,50.29,10.0
19,Gizo,64.53,0.0,IL,11/09/2019,72.0,34.94,31.8,69.01,3.36
20,Yellowknife,-2.21,75.0,CA,11/09/2019,64.0,-114.38,62.45,-2.21,5.82
21,Punta Arenas,46.17,0.0,CL,11/09/2019,52.0,-70.91,-53.16,46.4,8.05
22,Vilhena,77.0,20.0,BR,11/09/2019,83.0,-60.15,-12.74,77.0,5.82
23,Coquimbo,59.0,58.0,CL,11/09/2019,77.0,-71.34,-29.95,59.0,9.17
24,Rottingdean,43.25,75.0,GB,11/09/2019,93.0,-0.06,50.8,45.0,4.7
25,Port Alfred,64.99,99.0,ZA,11/09/2019,87.0,26.89,-33.59,64.99,7.0
26,Naze,77.14,100.0,NG,11/09/2019,91.0,7.07,5.43,77.14,2.95
27,Ushuaia,44.6,40.0,AR,11/09/2019,52.0,-68.31,-54.81,44.6,1.36
28,Chuy,64.44,100.0,UY,11/09/2019,84.0,-53.46,-33.69,64.44,11.3
29,Mataura,48.99,100.0,NZ,11/09/2019,91.0,168.86,-46.19,48.99,7.0
30,Mehamn,17.49,28.0,NO,11/09/2019,89.0,27.85,71.03,17.49,7.65
31,Parry Sound,33.46,100.0,CA,11/09/2019,81.0,-80.04,45.34,36.0,11.01
32,Nikolskoye,38.53,90.0,RU,11/09/2019,93.0,30.79,59.7,39.2,4.47
33,Dengzhou,57.67,14.0,CN,11/09/2019,64.0,112.08,32.69,57.67,8.12
34,New Norfolk,58.82,40.0,AU,11/09/2019,41.0,147.06,-42.78,61.0,19.46
35,Puerto Ayora,73.85,75.0,EC,11/09/2019,65.0,-90.35,-0.74,77.0,11.41
36,Kaeo,72.9,92.0,NZ,11/09/2019,100.0,173.78,-35.1,75.0,19.98
37,Sorland,32.77,11.0,NO,11/09/2019,63.0,12.69,67.67,32.77,15.95
38,Hithadhoo,80.96,57.0,MV,11/09/2019,78.0,73.08,-0.6,80.96,8.5
39,Vaini,64.54,0.0,IN,11/09/2019,85.0,74.49,15.34,64.54,2.8
40,Churapcha,-19.32,0.0,RU,11/09/2019,94.0,132.43,62.0,-19.32,4.76
41,Goderich,33.85,89.0,CA,11/09/2019,78.0,-81.71,43.74,37.99,11.99
